,alpha-2,region,sub-region
174,PE,Americas,Latin America and the Caribbean
175,PH,Asia,South-eastern Asia
176,PN,Oceania,Polynesia
177,PL,Europe,Eastern Europe
178,PT,Europe,Southern Europe
179,PR,Americas,Latin America and the Caribbean
180,QA,Asia,Western Asia
181,RE,Africa,Sub-Saharan Africa
182,RO,Europe,Eastern Europe
183,RU,Europe,Eastern Europe
184,RW,Africa,Sub-Saharan Africa
185,BL,Americas,Latin America and the Caribbean
186,SH,Africa,Sub-Saharan Africa
187,KN,Americas,Latin America and the Caribbean
188,LC,Americas,Latin America and the Caribbean
189,MF,Americas,Latin America and the Caribbean
190,PM,Americas,Northern America
191,VC,Americas,Latin America and the Caribbean
192,WS,Oceania,Polynesia
193,SM,Europe,Southern Europe
194,ST,Africa,Sub-Saharan Africa
195,SA,Asia,Western Asia
196,SN,Africa,Sub-Saharan Africa
197,RS,Europe,Southern Europe
198,SC,Africa,Sub-Saharan Africa
199,SL,Africa,Sub-Saharan Africa
200,SG,Asia,South-eastern Asia
201,SX,Americas,Latin America and the Caribbean
202,SK,Europe,Eastern Europe
203,SI,Europe,Southern Europe
204,SB,Oceania,Melanesia
205,SO,Africa,Sub-Saharan Africa
206,ZA,Africa,Sub-Saharan Africa
207,GS,Americas,Latin America and the Caribbean
208,SS,Africa,Sub-Saharan Africa
209,ES,Europe,Southern Europe
210,LK,Asia,Southern Asia
211,SD,Africa,Northern Africa
212,SR,Americas,Latin America and the Caribbean
213,SJ,Europe,Northern Europe
214,SE,Europe,Northern Europe
215,CH,Europe,Western Europe
216,SY,Asia,Western Asia
217,TW,Asia,Eastern Asia
218,TJ,Asia,Central Asia
219,TZ,Africa,Sub-Saharan Africa
220,TH,Asia,South-eastern Asia
221,TL,Asia,South-eastern Asia
222,TG,Africa,Sub-Saharan Africa
223,TK,Oceania,Polynesia
224,TO,Oceania,Polynesia
225,TT,Americas,Latin America and the Caribbean
226,TN,Africa,Northern Africa
227,TR,Asia,Western Asia
228,TM,Asia,Central Asia
229,TC,Americas,Latin America and the Caribbean
230,TV,Oceania,Polynesia
231,UG,Africa,Sub-Saharan Africa
232,UA,Europe,Eastern Europe
233,AE,Asia,Western Asia
234,GB,Europe,Northern Europe
235,US,Americas,Northern America
236,UM,Oceania,Micronesia
237,UY,Americas,Latin America and the Caribbean
238,UZ,Asia,Central Asia
239,VU,Oceania,Melanesia
240,VE,Americas,Latin America and the Caribbean
241,VN,Asia,South-eastern Asia
242,VG,Americas,Latin America and the Caribbean
243,VI,Americas,Latin America and the Caribbean
244,WF,Oceania,Polynesia
245,EH,Africa,Northern Africa
246,YE,Asia,Western Asia
247,ZM,Africa,Sub-Saharan Africa
248,ZW,Africa,Sub-Saharan Africa
