,region,place,cost_nomad,cost_coworking,cost_expat,coffee_in_cafe,cost_beer,places_to_work,free_wifi_available,internet_speed,freedom_score,peace_score,safety,fragile_states_index,press_freedom_index,female_friendly,lgbt_friendly,friendly_to_foreigners,racism,leisure,life_score,nightlife,weed
706,Africa,Johannesburg,2467.0,195.45,1243.0,2.79,2.79,0.8,0.4,4.0,0.6,0.6,0.2,69.9,21.92,0.4,0.6,0.8,0.6,0.6,0.42,0.4,0.0
707,Asia,Dhaka,1703.0,190.51,1081.0,2.54,2.54,0.4,0.2,5.0,0.2,0.2,0.27,90.7,45.94,0.4,0.4,0.8,0.4,0.2,0.49,0.27,0.0
708,Asia,Chittagong,1111.0,63.5,703.0,3.56,3.56,0.4,0.6,3.0,0.2,0.2,0.6,90.7,45.94,0.6,0.4,0.6,0.4,0.6,0.45,0.4,0.0
709,Asia,Khulna,1279.0,63.5,694.0,7.62,7.62,0.4,0.6,2.0,0.2,0.2,0.6,90.7,45.94,0.6,0.4,0.6,0.4,0.8,0.48,0.4,0.0
710,Asia,Doha,4741.0,340.87,3843.0,4.12,4.12,0.8,0.8,9.0,0.4,0.8,1.0,45.1,35.97,0.2,0.2,0.8,0.0,0.8,0.7,0.56,0.0
711,Asia,Almaty,1614.0,235.9,1162.0,2.9,2.9,0.6,0.6,5.0,0.2,0.6,0.6,66.5,54.55,0.6,0.4,0.6,0.0,0.6,0.62,0.4,0.0
712,Americas,Hamilton,6345.0,813.74,5446.0,10.0,10.0,0.4,0.6,6.0,0.7983633511713711,0.9382779127652594,0.8,35.87962064600495,13.831653295883651,0.6,0.4,0.8,0.8,0.6,0.77,0.8,0.0
713,Asia,Siem Reap,1118.0,149.03,1141.0,1.99,1.99,0.8,0.4,1.0,0.2,0.4,0.6,87.4,40.7,0.4,0.6,0.8,0.0,0.6,0.56,0.4,0.0
714,Asia,Phnom Penh,1039.0,100.6,1036.0,1.99,1.99,0.8,0.4,4.0,0.2,0.4,0.4,87.4,40.7,0.4,0.6,0.8,0.0,0.6,0.51,0.4,0.0
715,Africa,Abidjan,2299.0,233.49,1125.0,2.87,2.87,0.6,0.6,1.0,0.4,0.518248783759006,0.6,62.763098346735134,30.17,0.4,0.4,0.4,0.0,0.6,0.72,0.8,0.0
716,Africa,Abuja,1782.0,4.78,1351.0,2.74,2.74,0.2,0.2,6.0,0.4,0.2,0.4,103.5,35.9,0.6,0.2,0.6,0.6,0.4,0.33,0.4,0.0
717,Africa,Ibadan,1259.0,58.36,749.0,0.96,0.96,0.4,0.2,1.0,0.4,0.2,0.4,103.5,35.9,0.6,0.4,0.6,0.0,0.4,0.29,0.4,0.0
718,Africa,Lagos,1330.0,95.68,1972.0,0.96,0.96,0.4,0.2,4.0,0.4,0.2,0.4,103.5,35.9,0.4,0.2,0.8,0.0,0.6,0.29,0.8,0.0
719,Africa,Port Harcourt,2015.0,427.85,1118.0,1.96,1.96,0.4,0.2,1.0,0.4,0.2,0.4,103.5,35.9,0.2,0.2,0.4,0.4,0.4,0.28,0.2,0.0
720,Africa,Kano,1889.0,58.36,510.0,0.96,0.96,0.2,0.2,1.0,0.4,0.2,0.4,103.5,35.9,0.4,0.4,0.6,0.0,0.4,0.28,0.2,0.0
721,Africa,Nairobi,1679.0,196.49,1211.0,1.47,1.47,0.4,0.2,8.0,0.4,0.2,0.4,98.3,31.16,0.2,0.6,1.0,0.0,0.6,0.43,1.0,0.0
722,Asia,Beirut,2096.0,165.46,1836.0,1.99,1.99,0.4,0.4,1.0,0.4,0.4,0.6,89.6,31.95,0.6,0.6,0.8,0.0,1.0,0.63,1.0,0.0
723,Americas,Santa Cruz,1778.0,117.41,903.0,1.44,1.44,0.4,0.2,3.0,0.4,0.4,0.6,78.5,31.78,0.4,0.6,1.0,0.8,1.0,0.71,1.0,0.0
724,Americas,Cochabamba,1447.0,50.5,721.0,1.08,1.08,0.8,0.4,2.0,0.4,0.4,0.8,78.5,31.78,0.4,0.6,1.0,0.8,0.6,0.63,0.6,0.0
725,Americas,La Paz,1557.0,252.5,884.0,1.08,1.08,0.4,0.4,2.0,0.4,0.4,0.2,78.5,31.78,0.4,0.4,0.8,0.8,0.6,0.42,0.6,0.0
726,Asia,Ramallah,3082.0,142.97,1280.0,3.9,3.9,0.4,0.4,4.0,0.2,0.6288938380105007,0.6,56.96745097780634,42.93,0.6,0.2,0.8,0.8,0.4,0.73,0.8,0.0
727,Asia,Lahore,1583.0,85.4,1868.0,0.95,0.95,0.4,0.4,5.0,0.2,0.2,0.6,101.7,48.52,0.2,0.4,0.6,0.8,0.6,0.37,0.4,0.0
728,Asia,Faisalabad,2577.0,28.58,678.0,4.15,4.15,0.4,0.4,2.0,0.2,0.2,0.4,101.7,48.52,0.2,0.2,0.4,0.2,0.2,0.26,0.2,0.0
729,Asia,Islamabad,1423.0,77.48,1258.0,0.95,0.95,0.4,0.2,2.0,0.2,0.2,0.4,101.7,48.52,0.2,0.2,0.4,0.8,0.4,0.26,0.2,0.0
730,Asia,Peshawar,4245.0,174.41,616.0,2.83,2.83,0.2,0.4,1.0,0.2,0.2,0.4,101.7,48.52,0.2,0.2,0.2,0.2,0.6,0.26,0.2,0.0
